country,pop,urb,gdp,dist,hf,pf,ef,date_first,detection,status,cumul,air,datetime,cases,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,china_start,start_date,corona_converge_days
Albania,2866376,60.319,13364.1553966514,6996524.04325358,7.84,8.00541145680106,7.67,70,74.3,1,108641,303.14,2020-07-12,93,36.36773968,2019-12-30,2020-03-09,125
Algeria,42228429,72.629,15481.7876195754,9108277.13968971,4.99,5.20148916478469,4.77,58,12.0,1,80272,6442.44,2020-07-12,904,13.34167839,2019-12-30,2020-02-26,137
Angola,30809762,65.514,6452.35516529031,10490119.7239468,5.4,5.97993573267135,4.83,83,17.9,1,303691,76.94,2020-07-11,62,0.77296996,2019-12-30,2020-03-22,111
Argentina,44494502,91.87,20610.5685495282,19025623.9347765,6.86,8.04459987312997,5.67,65,74.9,1,92122,1516.63,2020-07-11,3367,92.90391447,2019-12-30,2020-03-04,129
Armenia,2951776,63.149,10343.1755901515,5064044.11519875,7.42,7.14501743438029,7.7,62,60.8,1,86276,,2020-06-28,736,292.14992048,2019-12-30,2020-03-01,119
Australia,24992369,86.012,51663.3650948449,7608913.27218058,8.62,9.16053274787732,8.07,26,97.3,1,1347,75667.65,2020-04-04,324,18.54526409,2019-12-30,2020-01-25,70
Austria,8847037,58.297,55454.689293289,7103537.08794164,8.48,9.24568542511029,7.71,58,73.2,1,80272,12935.5,2020-04-02,529,102.3279178,2019-12-30,2020-02-26,36
Azerbaijan,9942334,55.68,18044.1367837983,4849216.58472583,6.22,6.10466078962042,6.34,61,45.0,1,84456,2279.55,2020-07-04,583,79.00300556,2019-12-30,2020-02-29,126
Bahamas,385640,83.025,32087.7291547443,13276138.2010747,7.56,7.87120451262738,7.25,77,21.8,1,166430,1197.12,2020-04-14,2,8.98620233,2019-12-30,2020-03-16,29
Bahrain,1569439,89.287,47303.0485062895,5138295.48180704,6.63,5.91089540336499,7.35,56,45.8,1,78620,5877.0,2020-07-06,510,463.26875315,2019-12-30,2020-02-24,133
Bangladesh,161356039,36.632,4371.75498582046,1918841.17627307,5.77,5.36557341990744,6.18,70,50.9,1,108641,5984.16,2020-06-30,4014,31.39110784,2019-12-30,2020-03-09,113
Barbados,286641,31.147,18554.1292823844,14231259.5964516,7.02,7.5897524132377,6.45,79,19.1,1,193797,,2020-04-09,0,15.67829532,2019-12-30,2020-03-18,22
Belarus,9485386,78.595,19994.8040788005,5952246.04342594,6.65,6.65902816339645,6.64,60,28.9,1,82624,2760.17,2020-05-26,946,140.04895472,2019-12-30,2020-02-28,88
